策划案编号,标题,题材,主线,人设,钩子,投流,主线评估结论,人设评估结论,钩子评估结论,投流评估结论
116,,,女主是天才芭蕾舞女演员，却从小生活在破碎病态的家族，她失去父母后，大伯一家人收养了她，但用女主最看重的爷爷限制女主，把女主当做摇钱树，女主一场演出价值不菲本可以做自己，但是大伯一家又碍于自己的旧贵族身份以及控制欲不允许女主做出过于出格的事情，女主在这之中养出了扭曲的性格，表面上温柔完美，实际上病态偏执神经质。男主是老钱家族继承人，在一场婚礼里看见了女主释放真我的样子，对其感兴趣，两人越走越近。女主家族姐姐痛恨女主的能力认为自己上自己也行，于是处处给女主使绊子，教训女主，女主最初只是把男主当成一枚棋子，但在男主一次又一次的真心下，女主爱上男主，最终女主在男主的帮助下焕发新生,"男主：优雅成熟狠厉老钱家族继承人
女主：表面优雅大方温柔，实际疯批阴暗芭蕾舞演员。因为自己的爷爷被大伯家的私人医院控制，所以不得不在明面上为大伯赚钱，在这多年的相处大伯的控制中，也对大伯有了一些生理性害怕
女2：女主姐姐（大伯家的女儿）同样是芭蕾舞演员，但是永远比不上女主，也觉得女主是家里多余的人，认为自己如果有女主的舞蹈机会一定能比女主挣得多，心生怨恨
大伯：女主血缘上的大伯，控制狂，不能接受任何一点东西不按自己心意来，对女主死去的父亲有着别样的感情，恨当初让自己家族联姻娶了妻子的爷爷，在对女主的控制中满足自己见不得光的小心思，不能接受女主跟男人发生关系，甚至不允许女主出嫁，想一辈子把女主掌控在手里","女主被姐姐用奶奶威胁，欺负侮辱，姐姐甚至要给女主灌硫酸，说反正芭蕾舞演员只需要脚，危急时刻，男主赶到
或者
女主姐姐找人打算欺负女主，破坏女主的芭蕾舞表演，女主自己拿刀显露真面目吓退坏人，看着赶来救场的男主上去揽着他脖子说“操我”？","素材1：温柔优雅的女主被姐姐刁难还陪着笑脸跳完芭蕾舞，男主刚在楼上嘲笑完女主这样的人很无趣，下一秒却看见女主独自相处时变了冷淡神情，用汽油铺满了姐姐的婚礼，等姐姐进来时一根火柴引起了火灾，婚礼被毁，女主痛快回头问男主，睡吗？
2.女主回家之后被禁闭绝食鞭打，交代女主在家里处境，男主跟女主上床之后被激起兴趣，但苦于女主离开，他找不到女主，于是交代手下寻找女主
3.女主家族为了价值不菲的演出只能提前放出女主，但女主姐姐怀恨在心，演出中故意给女主鞋子放了图钉，后堵住女主说要给女主灌硫酸，反正女主跳舞不需要嗓子，危机时刻，男主出现",不通过,通过,通过,通过
117,,,故事起因：女二生日当天，养兄未婚夫为了抢夺财产，将女二谋杀，制造出女二旅游失踪的假象，想拖到继承大会当天继承公司。男主是女二的小叔，怀疑女二的死有蹊跷，一直暗中调查。为了不让财产落入贼人手里，男主意外找到女主，让女主假冒是女二失散多年的妹妹/或者让女主假冒私生女，让其继承遗产。而女主则是无父无母的孤儿，平日里做些招摇撞骗的行当，一夜成为富家千金，过上了梦里才有的暴富生活，于是一边潇洒，一边掉马，同时也意外收获了一份真爱。,"男主：年上男，帅气多金，有涵养，学识丰富，会成为女主贫瘠人生上的领路人
女主：阳光开朗，坚韧不屈，招摇撞骗的塔罗牌女巫","女主在酒吧被刁难，男主出场撑腰
或
继承大典上，女主险些被渣男揭穿是假千金","1、女主在地下室吃泡面，男主华丽出场，让女主假冒千金，女主震惊
2、男主为女主华丽变身， 女主一夜暴富，想回去告诉男友，却遭遇男友背叛，男友嫌弃女主穷，女主打脸
3、女主买醉，酒吧遇到老同学刁难，男主出场撑腰
4、继承大会，女主华丽出场，随即被拆穿是假千金",不通过,通过,不通过,不通过
118,,,"1.男主这五年间已经被妈妈安排相亲，有了爱慕自己的女2。女主因为公司出差去男主的公司合作，以及为了治疗孩子的病情不得不回到男主的城市。女2对女主的到来百般抵触，设计女主在工作中出丑
2.男主质问女主为什么还出现在自己身边，女主无颜说出孩子的事情，男主以为女主故意挑衅自己，抱女主上床，女主扇男主巴掌
3.女主在医院被女2故意刁难，羞辱，还拿走了自己孩子的特效药，女主没忍住教训女2，男主护住女2，医生出来说需要输血，男主想上前输血，女主拦住，差点脱口女儿是男主孩子。","女主：普通工薪家庭，坚强温柔
男主：富有总裁，深情霸道。因为觉得是女主害死了自己父亲对女主又爱又恨
女2：男主仰慕者，未婚妻，看不惯女主，恶毒
男2：女主仰慕者，希望自己可以当上女主女儿的父亲，温柔
男主妈妈：记恨女主害死了自己老公，给男主传递了很多错误消息，害女主，最后因为男主对女主的爱妥协",女主在医院里差点说出男主是自己孩子的父亲,"1.医院里，剪辑女主女儿生命垂危，急需输A型血，在场人只有男主是A型血，他自告奋勇要输血，但女主反应激烈，坚决不让男主输血，因为近亲不能输血，男主不可置信女主的做法，女主差点吐露女儿是男主孩子的真相。
2.闪回当年的车祸一事，车上，因为女主的撒娇导致女主妈妈没看车，发生车祸，男主爸爸去世，男主昏迷。男主妈妈恨女主，撒谎说女主以为男主将成为植物人就带着自己妈妈离开了，实际上女主妈妈也死在这场车祸，男主妈妈给了女主钱让女主滚得越远越好，女主怀着男主的孩子，却无颜见男主，去国外一个人生下孩子抚养
3,。女主女儿有先天性疾病需要回国找特定的大师治疗，女主和男主重逢，男主字字诛心询问女主怎么还有脸回来，恰好他手里有那个大师资源，刁难女主不给她资源，除非女主作陪，女主甘愿作陪，男主忍不住说女主怎么这么贱，不想女主接到女儿生命垂危电话，急忙离开，男主跟上。但却在医院里遭到女2的刁难挑衅，甚至抢走了女主要给女儿的特效药。时间回到开头一幕，当女主要说出男主是孩子父亲时候，护士出来说找到血缘了打断两人相认。
4.女主带着痊愈的女儿打算回国外。但在这之前两人决定去祭拜女主母亲，不想跟同样来这里祭拜父亲的男主和男主妈妈遇到，男主质问女主怎么还有脸来，女主忍不住说自己也失去了妈妈，男主惊讶瞪向自己妈妈，问“你不是说她当年带着她妈妈离开了吗？”",通过,通过,通过,通过
119,,,故事起因：女主一直以为自己是孤儿，职业是实力艺术策展人，渣男男2是艺术家，为了女主的能力假装爱她，实际偷偷和女2（女主闺蜜）出轨，终于，在渣男名声大噪的那一刻，男2和女2在女主面前偷情，背叛了女主，并且把女主推下山崖。女主却没死，被自己失散多年的富豪母亲救下，原来女主是富豪的女儿，女主换回自己真正的名字，改头换面对渣男和女2发起复仇。之后，女主遇上了青梅竹马男主，在男主的疗愈和帮助下打脸渣男和女2，完成复仇，和男主在一起,"女主：实力艺术策展人，前期胖女孩天真无比，一心为了男2付出，被背叛后华丽变身商业女王，优雅精致。
男2：渣男，画家，为了女主的策划能力和人脉假装对她好，其实早就和女2出轨
女2：女主闺蜜，调香师，同样是为了女主的策划能力和人脉才跟她玩，内心看不起女主，蛇蝎心肠
男主：富商总裁，成熟深情，从小暗恋女主，但因女主失踪与女主分开，长大之后和女主相认",女主故意给男2投资项目，要求他来宴会谈合作，万众瞩目之下女主登场，全场所有人都在震惊女主的魅力，男2却瞪大眼睛脱口女主的名字（给人似乎女主第一步计划就失败了的感觉）,"1，女主被渣男女2为了艺术之名浸泡在颜料里看女2脱衣服与自己丈夫搂抱，好不容易爬出来之后被男2女2要求戴着游泳圈滚着出房间，以提供艺术灵感，女主照做，实际她出去之后男2女2就笑她，并且开始亲吻。女主狼狈出来，还被渣男母亲嫌弃把家里弄脏了，辱骂她是肥猪要求女主打扫干净
2.女主意外戳破男2女2两人奸情，出来质问，并且表达一定不会善罢甘休的意愿，被女2男2慌张中推下悬崖
3.女主被富豪妈妈救回，认回身份，还和男主相见，女主发誓要报仇，在一次次减肥中华丽变身，貌美无比
4.女主联合男主的名头故意给男2投资项目，万众瞩目之下女主登场，全场所有人都在震惊女主的魅力，男2却瞪大眼睛脱口女主的名字",不通过,通过,通过,通过
120,,,女主出生在吸毒家庭，母亲患有强烈毒瘾，总是对女主非打即骂，并且女主还有一个重病在场的爷爷，为了拯救爷爷给爷爷做手术，女主母亲总是要求女主给钱，女主迫不得已准备去卖卵，也因此结识了冷淡医生男主，男主为了劝女主放弃想法而约见她，却不想自己却对女主一见倾心。两人展开床上交易，女主拿钱走人。女主家庭逼迫女主交出更多的钱，女主交不出来，毒虫母亲便骗女主去夜店打工，实际悄悄联系黑社会要把女主卖给黑社会换钱，女主被下药，黑社会男要把女主注射毒品以后当娼妓给他们持续换钱，危急时刻，男主出现解救女主……女主和男主在一系列发展中生出不一样的感情，男主爱上女主，两人甜蜜在一起,"女主：坚韧自强小白花女主
男主：成熟稳重医生，杀伐果断，不苟言笑，大家族少爷",女主即将被黑社会注射毒品,"1.女主下雨天躲进男主家，说“我会卖的，我很干净”闪回前因后果，女主有毒瘾的妈，卧病在床的爷，以及女主看见卖卵广告之后的决定。闪出，女主被故意装作凶神恶煞的男主吓到，说自己再也不卖卵就想离开。但这时候女主母亲电话打进来要钱，女主想起瘫痪的爷爷狠狠心又回男主家要卖东西，说卖什么都可以，男主本来就对女主一见倾心，两人发生关系

2.女主回家交钱，被毒虫母亲羞辱，要她拿回更多的钱，女主只想问爷爷的情况，却遭到母亲拳打脚踢，女主伤心失望跑出家门，想再拨打男主电话，还是忍住。女主母亲毒瘾发作去要毒品，和黑社会说女主随便他们处置，只要给她毒品，黑社会答应。

3.女主被母亲骗去夜店打工，却被一群男人围住，说她母亲让她来这里是当娼妓的，女主不从，黑社会大怒。拿起毒品就要给女主注射，危急时刻，男主赶到。",不通过,通过,通过,通过
121,,,"故事起因：

上辈子，渣男和继妹为了争夺财产，制造车祸将女主迫害，在车子即将爆炸的时候， 男主冒死前来救女主，女主这才知道原来自己一直惧怕的男主深爱着她，最后两人双双死于爆炸。重活一世，女主决定报复打脸渣男和继妹，并且回应男主深沉的爱。","男主：黑手党家族继承人，帅气冷漠，视生命为蝼蚁，却默默深爱着女主，将女主视为自己的软肋

女主：生长在阳光下的向日葵，父亲是黑手党家族的长老，教父的副手，女主厌恶害怕黑手党干的勾当，想要逃离，所以很长一段时间生活在农庄，因此被渣男嫌弃是土包子

男二：风流男明星，擅长伪装的毒蛇，被家里逼迫和女主联姻，既要美色也要金钱，因此看不起土土的女主，喜欢女主的妖艳继妹，后期下场惨烈",渣男在婚礼上抹黑女主，女主一改丑小鸭形象，华丽出场，惊艳众人，打脸渣男,"1、女主四肢被捆，困在驾驶座上，向车窗外的未婚夫和继妹乞求，但未婚夫却言语侮辱女主，表示只有女主死了，他和继妹才能双宿双飞，然后启动车子，让女主坠崖。女主身受重伤压在车内，车即将爆炸的时候，男主前来营救，女主临死前才知原来她生前惧怕的人深爱着她。

2、女主意外重生，却回到女主被渣男下药陷害的这一晚上，渣男原想要把女主送到秃头老总床上，但女主逃过去，意外和男主一夜情。

3、第二天，女主报复渣男，知道渣男和继妹还在酒店里，于是带着记者闯入渣男房间，让渣男社死。

4、女主和渣男的婚礼，女主先是派人去当众退婚，宾客们暗中嘲笑渣男软饭都吃不上，渣男嘴硬说是女主又丑又土，结果女主华丽登场，从土妞变成了摩登女郎，惊艳众人",不通过,通过,通过,通过
122,,,"故事起因：两年前，男主和女主相识于乐队，男主是著名吉他手，出身音乐世家，女主来乐队应聘主唱，男女主机缘巧合下，相识热恋到订婚。

两年后，乐队名声大噪，享誉全国，女主也怀孕，正要和男主策划婚礼的时候，男主的白月光带着孩子归来。
原来男主一直将女主当做替身。
而白月光想要抢回失去的东西，频频在男女主之间制造误会。
白月光不仅要争夺主唱的位置，甚至在男女主拍婚纱照的时候，带着自己的孩子一起参与。
而男主则一次次选择白月光，伤透女主的心，还让女主流产。
最后女主决定离开，回归豪门，而身为乐队投资人的男二，默默守护陪伴女主，最后男二上位，男主追妻火葬场。","男主：著名吉他手，出身音乐世家，性格放荡不羁，浪子属性，一开始只是将女主当替身，后来爱而不自知，失去女主后才后悔莫及。



女主：天赋型歌手，外表秀丽，性格温柔大方，出身高贵，是传闻中的天才作曲家，隐藏身份成为了乐队主唱，原以为找到了一份真爱，却被男主无情背叛。



男二：深情年上男，帅气多金，默默守护着女主，在女主成为乐队主唱后，暗中投资乐队，后来女主情场失忆，男二一点点带她走出了阴霾。",音乐交流会当天，女主以真实身份回归，惊艳打脸众人。,"1、女主查出怀孕，却意外得知未婚夫和白月光有个孩子。继而加入口播：主角之间的关系，男女主相识于乐队，从相恋走到婚姻殿堂，女主却在举办婚礼的前夕得知，男主只是将她当做白月光替身。
2、男主多次为了白月光，抛下女主，甚至在男女主拍婚纱照的时候，白月光带着孩子前来，要一起拍，侮辱女主。
3、白月光逼迫女主让出主唱位置，却故意将女主推下舞台，男主前来，却选择救白月光
4、女主流产，伤心欲绝，决定回归豪门，在音乐交流会当天，以天才作曲家的身份回归，惊艳众人",通过,不通过,通过,通过
123,,,"故事起因：
女主奶奶生重病，唯一的愿望是看到女主走进婚姻殿堂，于是女主前去和男友求婚，却抓到男友和闺蜜出轨，男友嫌弃女主是没有家世的乡下妹，只能在乐团当小助理打杂，不能对他的事业起到帮助。女主伤心欲绝，路边买醉，意外救了车祸重伤的男主。男主出身豪门，并且是乐团的投资人，醒来后提出可以满足女主一个心愿来报恩。女主想起奶奶，便让男主和她结婚。男主第一反应是女主居心不良，于是隐瞒身份，伪造自己是穷鬼，想试探女主，但女主不嫌弃，表明是假结婚，就这样男女主闪婚并且同居。而渣男和闺蜜以为女主嫁了个穷鬼，对女主刁难嘲笑，男主则霸气护妻，打脸众人。最后男女主在一次次挫折中，相互吸引，直到相爱。而女主也凭着自己的实力，成为了乐团首席。","女主：乐观开朗，虽然在乐团打杂，但音乐天赋高，后来通过自己的证明，打脸曾经瞧不起自己的反派，成为乐团首席并且收获一份真爱。

男主：帅气多金，性格冷傲，是乐团投资人，认为爱情是无用的东西，一开始觉得女主别有用心，被女主小太阳的性格吸引，并且爱上。",男主装穷人，来女主乐团当评委，险些暴露自己的真实身份,"素材：
1、口播男女主之间的关系，女主渣男背叛，伤心买醉，意外救了受伤的男人，并且提出闪婚，女主以为对方是个穷鬼，却不知对方身价千亿，是女主乐团的投资人。
2、乐团考核首席，男主前来当评委，险些在女主面前掉马。
3、女主参加首席考试，被众人嘲笑，瞧不起，考试当天女主找不到给她钢琴伴奏的男搭档，众人纷纷看好戏，就在大家都不看好的时候，男主戴面具出场为女主伴奏，女主通过第一轮考试，打脸众人，同时也险些掉马
4、渣男得知女主嫁人，心里不平衡，后又得知女主的丈夫是穷鬼，于是在乐团周年庆当天，刁难侮辱女主，最后男主出场公开身份，为女主撑腰。",不通过,通过,通过,通过
124,,,"故事起因：渣男小三为婚内财产和保险将女主推进火场，女主被同样遭到小三抛弃的男主所救，女主因脸被烧坏而整容。女主和男主联手，复仇渣男贱女，在复仇过程中，女主跟男主产生情愫。
主角主要目的：复仇渣男贱女
经历阻碍事件：
1-女主换脸华丽登场，被渣男发现身上的疤痕，怀疑身份
2-小三因女主的离间，关注女主，发现女主跟渣男亡妻很像，找到证明证明女主就是亡妻
3-男主因女主勾引渣男而吃醋，拉着女主亲热，渣男出现，两人险些被撞破","男主：总裁，曾经重病要死了，被女配抛弃，但后面病愈。救女主是因为有共同的仇人。后被女主的魅力三观吸引，爱上女主。
女主：被渣男推下海后以男主已故妹妹的身份回归。
男二：渣男，某上市小老板。
女二：小明星。小三。男主前女友。发现男主不但继承家业，还身体恢复健康，后悔！",小三被女主反设计失身油腻男，视频在小三代言的新品发布会上传播，小三颜面扫地。,"吸睛事件：
素材1：女主换脸成功后，以男主妹妹的身份举办回国宴，邀请渣男小三，女主故意跟渣男暧昧，渣男上钩。事后，女主引诱渣男，让小三看到，小三产生危机。而男主却因为女主跟渣男“亲热”吃醋。
素材2：女主勾引渣男假上床，设计小三抓奸，却被女主反设计失身油腻男，视频在小三代言的新品发布会上传播，小三颜面扫地。
素材3：小三发现女主是前妻，想办法找麻烦，却被女主反设计。渣男所有财产，因女主的设计全进了皮包公司，渣男破产。在女主引导下，渣男以同样手段，杀“妻”骗保。",通过,不通过,不通过,通过
125,,,"故事起因：为满足父亲需要家族继承人的要求，为白月光守身如玉的渣男找来其他男人要求女主必须怀孕，否则就停了女主母亲的治疗费。女主不堪其辱，要自己去找人怀孕，酒吧一夜情后，女主用渣男的钱包养男模，谁料想男模竟然是某财阀家太子爷。
主角主要目的：远离渣男，活出自我
经历阻碍事件：
1-女主远离渣男，跟男主各种亲热，却被渣男误以为是欲擒故纵。
2-女主要逃离渣男，却被渣男以母亲来威胁。
3-女主隐瞒怀孕的事被揭穿，渣男一家找女主麻烦","男主：男模，其实是财阀太子爷。
女主：破产千金，因渣男曾经对母亲的照顾，爱上渣男。天才设计师现任职渣男家公司。母亲重病，需要渣男名下公司的先进医疗设备才能续命，为了母亲，她为渣男公司卖命。后来发现，渣男父亲才是害他们家破人亡的罪魁祸首。
男二：继承家业的老板，误以女配才是救命恩人。后发现女主是救命恩人，后悔。
女二：喜欢渣男，绿茶白莲花。",女主发现怀上男主孩子,"吸睛事件：
素材1：渣男将陌生男人扔女主床上，要女主怀孕应付家里长辈，女主当场去找男模，之后让渣男掏钱包养男模。女主跟男主各种亲热，渣男却觉得女主在欲擒故纵。
素材2：女主终于怀孕，狠心跟男主提分手。之后在渣男爷爷宴会上，男主出场，女主才发现男主并非男模，而是财阀太子爷。
素材3：女主隐瞒怀孕，但怀孕的事还是暴露，渣男他们都要求女主流产。",通过,通过,不通过,通过
126,,,"故事起因：为了私生女，女主被父亲污蔑为假千金，遭到被蒙蔽真相的生母百般折磨，又被设计和油腻男上床。阴差阳错跟大佬男主共度一夜，事后怀上男主孩子，在男主帮助下，她终于脱离地狱般的家庭。
主角主要目的：脱离地狱般家庭，打脸反派
经历阻碍事件：
1-女主被发现怀孕，女配污蔑孩子是油腻老男人的，为将肝给女配，母亲强行拖着女主去医院打胎。
2-女配装病变成真的患有白血病跟肝脏疾病，他们开始打女主肝脏主意。女主被母亲绑去黑心诊所打胎挖肝。
3-男女主感情转正","男主：大佬总裁，被奶奶各种催婚
女主：真千金，却被父亲跟女配污蔑成假千金
男二：女主父亲，偏心私生女。
女二：私生女，想上位，成为继承人。",一卡：护士提到女配跟母亲血检报告不匹配，报告显示女主才是亲生女儿,"吸睛事件：
素材1：女主被女配下药跟油腻老男人上床，阴差阳错跟男主滚了床单并怀孕，女配装病弱要换肝，女主被拖去医院打胎摘肝，女主不同意被母亲暴打，关键时刻男主出场英雄救美，护士出现说女配的血检报告跟母亲不匹配，根据报告显示，女主才是真千金。
素材2：女配装白血病装肝坏死，没想到最后真确诊这两种病，她怂恿母亲摘女主的肝儿，男主救下女主，母亲捅了女主一刀，女主大出血送去抢救，这时候母亲的父亲拿来了真正的亲子鉴定报告，母亲才知道女主是她亲生女儿。母亲后悔，求原谅，替女主收拾女配父女。
素材3：女配在男主奶奶生日宴上污蔑女主怀的是老男人的孩子，男主播放老男人交代事情真相视频打脸女配。",不通过,通过,不通过,通过
127,,,"故事起因：
女主的妹妹被男主同父异母的哥哥玩弄至死，女主为了替妹报仇，潜伏靠近男主，想借着男主混进财阀家族，从而报复男主的哥哥。不想被男主一眼看破动机，但男主没有因此揭穿女主，而是顺水推舟，帮女主复仇，实际是想借着女主的手将大哥拉下台，却不想男主步步沦陷，调教女主过程，逐渐被女主吸引，最后爱上。","男主：英俊多金，财阀家的小儿子，外表看着绅士温柔，实则内心冷漠，痛恨失手将自己母亲推下楼的哥哥，后来女主出现救赎了男主。
女主：外表美丽大方，性格坚韧顽强， 底层小人物努力活着
男二：黄赌毒都沾的变态，也是杀害女主妹妹的凶手，白天是精英，晚上是玩弄未成年的恶魔",女主在酒吧遭遇危险，绝望之际，男主出现救女主,"1、女主刚和妹妹发完消息，妹妹浑身伤痕、赤裸的尸体坠到酒店门口，女主崩溃，得知是首富财阀家害死妹妹。
2、女主混进财阀家族，试图搜寻证据，为妹妹报仇，就在女主忍不住要持刀杀死凶手时，却被男主先一步抓住，女主以为自己要死，男主却提出要和她合作。
3、男主将女主包装成名媛，教她勾引男人的手段，两人暧昧拉扯
4、女主终于有机会接近反派，却被反派故意刁难试探，将女主灌醉，女主即将遭遇危险之际，男主出场救",通过,通过,通过,通过
128,,,故事起因：女主从小是孤儿，被豪门收养，却爱上了自己的养兄（男二），因此不被世人认同，包括男二在内也觉得女主这种情感可耻，所以一直冷漠对待女主，对女主精神上的虐待，却不知自己早已爱而不自知。一次意外，女主被绑架，男二听信小人谗言，要借此给女主一个教训，因此没有及时去营救女主。女主绝望之下，男主及时出现，将她拉出深渊，从此两人开启一段爱情救赎。女主慢慢走出阴影，真正爱上了男主，男二追妻火葬场。,"男主：男二的兄弟，出身名门世家，站在上流社会的金字塔，性子隐忍，外表冷漠，不近女色，唯独对女主温柔，暗恋女主所以才和男二当兄弟。
女主：温柔卑微单纯，被男主pua不自知，后来被男主救赎，才明白什么才是真正的爱情。
男二：女主的养兄，帅气开朗，但却极度好面子，怕丢人，所以很不齿女主对她的爱，后来女主爱上了自己的兄弟，又很破防",护士检查出女主怀孕，众人震惊,"1、口播：女主爱了哥哥七年， 但在女主被绑架的时候，哥哥却袖手旁观，表示要给女主一个教训，女主绝望之际，男主出现。
2、男主将女主救下，女主浑身伤痕，男主心疼，为她治疗。
3、女主酒醉，询问男主是不是重新爱上另一个人就能从上一段感情出来，然后女主主动勾引男主，一夜情。
4、女主逃跑，遇到哥哥，被哥哥嫌弃，精神上的虐待，女主伤心，想要放下。
5、哥哥带了女朋友回来，要让女主私心，女朋友刻意刁难女主，女主身体虚弱晕倒，进医院，查出怀孕",不通过,通过,不通过,通过
129,,,故事起因：女主家遭遇大火，父母双亡，女主的眼睛也被熏瞎，被未未婚夫家收留照顾，后来未婚夫勾结女主的闺蜜，陷害女主和男主发生关系并怀孕，想要因此向男主讹钱。却不想女主是装瞎，借此机会嫁入了真正的豪门家族，不仅收获了真爱，还打脸未婚夫等人，并且查出当年的火灾是未婚夫家干的。而男主一开始觉得女主别有用心，处处防备猜忌女主，甚至一度怀疑女主装瞎，因此两人不断拉扯试探，最后逐渐被对方吸引，从而爱上彼此,"男主：帅气多金贵公子，性格多疑冷漠，不近女色，事业狂魔，女主的出现成了一个意外。
女主：装瞎装小白花，实则坚韧聪明，凭借着自己的能力复兴了家族。
男二：金钱至上，为了财富权利不择手段，甚至将自己的未婚妻送到别的男人床上",男主险些发现女主装瞎,"1、未婚夫将瞎眼女主逼到楼梯，言语威胁，让她爬上男主的床，女主绝望乞求。
2、加入一小段口播解释主角之间的关系，女主原本是千金，一场大火将她双亲烧死，眼睛也瞎了，后来在未婚夫逼迫下去勾引首富继承人。
3、女主第一次和男主交锋，男主不相信女主怀了他的孩子，两人极限拉扯。
4、女主凭借肚子里的孩子嫁给了男主，男主怀疑女主心怀鬼胎，多次试探女主。
5、一次意外，女主暴露装瞎的事实，险些被男主发现",不通过,通过,不通过,通过
130,,,"故事起因：
五年前，女主在酒吧卖酒意外和男主一夜情并且怀孕，男主留下一张纸条后离去，而女主醒来的时候纸条被风吹走，从此和男主错过，独自生下男主的孩子，成为了单亲妈妈。五年后，女主带着儿子再和男主相遇，彼此都忘了对方是当年的一夜情对象，两人在事业上交锋，男主逐渐被女主的坚强善良品质吸引，最后爱上了女主。与此同时，男主还意外得知自己有个儿子，因此一直暗中派人寻找，却不知他要找的人近在眼前。



主角主要目的：男女主什么时候发现对方就是当年的一夜情对象。","男主：无情资本家，钻石王老五，帅气多金，但大龄单身，不近女色，女主是例外
女主：美丽大方，努力上进的小律师，在一次劳工纠纷案中和男主重新相遇，在重重艰难考验中爱上彼此
 女二：豪门养女，嚣张跋扈，暗恋男主，看到男主对女主特殊对待，心生嫉妒，于是开始暗中陷害男主",女配给女主儿子吃菠萝过敏，并锁进储藏室，危急关头，男主出现救场,"1、口播：交代前因后果，女主一次意外和男主一夜情，生下孩子，却忘了对方长相，一次意外，女主儿子生病进医院，撞进了首富爷爷的怀里。
2、首富爷爷发现女主儿子长得和男主小时候一模一样，一定是男主的孩子，男主却不相信，于是调查dna，得知真是男主孩子，男主回忆起六年前的一夜情，于是派人大面积寻找孩子。
3、女主庆祝接到案子，喝多意外撞进男主怀里，男主觉得女主长得熟悉。女主以为是闺蜜来接她，撒娇撒酒疯，男主被迫送女主离开，被女二看到。
4、女主成为男主公司的劳工纠纷律师，两人聊起儿子，女主要给男主看自己儿子照片。",通过,通过,通过,通过
131,,,"故事起因：
女主结婚当天，女主的闺蜜和未婚夫出轨，女主将两人苟合的过程拍下，并在酒店大堂显示屏上播放，并且当众退婚，大闹婚礼现场。之后，女主在躲避记者的追问时，碰上了未婚夫的小叔（男主），小叔帮女主躲避记者，两人就此相识并且一夜情。女主提出和小叔结婚，而小叔对女主钟情已久，答应女主，女主从此变成未婚夫的小婶。最后，女主在男主步步为营中，逐渐爱上了男主，并且夺回家产，打脸众反派。

主角主要目的：女主什么时候真正爱上男主","男主：帅气多金，隐忍克制，深爱女主多年
女主：明媚开朗，敢爱敢恨，有气绝不憋着，有仇当场报，上能撕渣男贱女，下能忍气吞声夺家产
女二：心机闺蜜，家里没钱，因此从小嫉妒身为富家千金的女主，女主拥有的，她都要抢走，因此频频给女主制造危机",女主被闺蜜和渣男刁难，男主出场解围,"1、女主大婚前夕，在备婚室看到未婚夫和闺蜜do，女主愤怒，拿手机拍下。
2、记者闻风赶来，要拍偷情新闻，另一边又要追问女主感受，女主躲避记者，意外撞见未婚夫的小叔（男主），女主拿小叔当挡箭牌，亲吻小叔
3、女主伤心醉酒一夜情，睡了小叔
4、第二天结婚，女主当众退婚，搞砸婚礼现场，未婚夫刁难女主，小叔维护，并且让未婚夫叫女主小婶，众人惊",不通过,通过,不通过,不通过
132,,,"故事起因：女配故意制造车祸装受伤，让男主调走了医院所有医生，女主也因车祸，没得到及时救治，孩子流产。她在医院发现男主跟女配的“亲热”，失望提离婚。见男主果断签字，她失望跳海自杀。
主角主要目的：逃离男主
经历阻碍事件：（同类替换）
1-她提离婚，男主仍觉得她是欲擒故纵。
2-女主跳海自杀被男二所救，在男二帮助下假死。假死后，警察通知死讯，男主觉得女主买通他们做戏并不相信。
3-男主发现女主消失的时间越来越长，去警局辨领尸体，尸体被泡面目全非，男主不相信是女主，男二找人伪造了DNA","男主：总裁，眼盲心瞎，爱而不自知，当失去女主后，开始无限后悔。
女主：因男主小时候的守护，还有后来的救命之恩，疯狂爱男主，后失望结束生命。
男二：女主曾经救过的京圈少爷。
女二：女主继妹，各种欺负女主，抢女主的一切，谋害男主想要得到男主的公司",一卡：警察找到男主告诉她，女主跳海自杀，让他去警局辨领尸体,"吸睛事件：
素材1：
女主因女配的设计，两人同时发生车祸。男主为女配调走所有医生，而女主因得不到及时救治，孩子流产。女主在医院发现男主对女配的贴心照顾，想到因为女配，她孩子才没了，女主失望上去质问，当她告诉男主她流产的时，男主觉得孩子是女主设计而来，无所谓孩子生死，女主提出离婚，男主果断签字，瞧不起女主的他，觉得女主并不会真的离开。而女主想到过去被冷待种种，心死烧掉他们之间所有回忆，跳海自杀。而男主回来得知女主几天没在家，觉得女主是故意闹失踪欲擒故纵。男主在公司，听到员工谈论海边发现女尸，提到女尸跟女主有关时男主嗤之以鼻，女配来刷存在感，男主才知道女主在好友圈公布他们离婚的事，男主来气把结婚戒指扔进水池，假装跟女配好，自以为是的觉得能用这种方式将女主气出来。男主跟女配相处，频频想起女主的好走神。这时候男主兄弟来了，看到男主跟女配在一起，提到曾经男主为救女配摔下楼瞎眼断腿，女配却跑了，只有女主陪着她照顾他，男主震惊，当初不是女配照顾他的么？",不通过,不通过,通过,通过
